🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight low_mood_audit positive_rate=0.956 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=low_mood_audit
[Step 117] user:low_mood_audit loss: 2.435 grad: 8.276 pred: 3.101 reward:  7.15 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_business_insider | Analytical Deep Dive | Don't believe those videos showing Sam Altman 
[Step 118] user:low_mood_audit loss: 0.630 grad: 4.869 pred: 3.177 reward:  7.79 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Best Lab-Grown Diamond Tennis Bracelets 2026: 
[Step 119] user:low_mood_audit loss: 3.809 grad:14.311 pred: 3.137 reward: 10.00 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Nvidia’s Venture Capital Arm Is Silently Inves
[Step 120] user:low_mood_audit loss: 1.967 grad: 7.911 pred: 3.111 reward:  7.63 eps:0.16 exploit regret: 2.37 hn:0.000 hc:0.00 | source_archdaily | Analytical Deep Dive | New Public Transit Map Series Launches with Lo
[Step 121] user:low_mood_audit loss: 5.854 grad:17.077 pred: 3.016 reward: 10.00 eps:0.16 explore regret:    - hn:0.000 hc:0.00 | source_build_australia | Analytical Deep Dive | Architecture trends in 2026 - Build Australia
[Step 122] user:low_mood_audit loss: 1.946 grad: 9.331 pred: 3.141 reward:  7.40 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenAI unveils 'ChatGPT agent' that gives Chat
[Step 123] user:low_mood_audit loss: 1.225 grad: 5.715 pred: 2.929 reward:  7.25 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | androidauthority.com | Analytical Deep Dive | Google Home’s daily recap may soon become easi
[Step 124] user:low_mood_audit loss: 0.991 grad: 5.253 pred: 2.990 reward:  7.42 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_tech_xplore | Analytical Deep Dive | Have you given away secrets on ChatGPT? Be car
[Step 125] user:low_mood_audit loss: 6.192 grad:18.375 pred: 2.987 reward: 10.00 eps:0.16 explore regret:    - hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | Op-ed: China won the 2025 battle in Trump's tr
[Step 126] user:low_mood_audit loss: 0.761 grad: 4.924 pred: 3.037 reward:  7.67 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | technologyreview.com | Analytical Deep Dive | A “QuitGPT” campaign is urging people to cance
[Step 127] user:low_mood_audit loss: 0.852 grad: 5.006 pred: 3.006 reward:  7.71 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_the_verge | Analytical Deep Dive | OpenAI’s new ChatGPT Agent can control an enti
[Step 128] user:low_mood_audit loss: 2.779 grad: 9.655 pred: 2.999 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Food Delivery Is Fueling Demand—And Investment
[Step 129] user:low_mood_audit loss: 0.918 grad: 5.073 pred: 2.978 reward:  7.46 eps:0.15 explore regret:    - hn:0.000 hc:0.00 | source_interesting_engineering | Analytical Deep Dive | Starlink achieves peak download speed of 17Mb/
[Step 130] user:low_mood_audit loss: 3.392 grad:12.189 pred: 3.026 reward: 10.00 eps:0.15 exploit regret: 0.00 hn:0.000 hc:0.00 | source_techradar | Analytical Deep Dive | I tried using ChatGPT to restore old photos, h
[Step 131] user:low_mood_audit loss: 3.732 grad:15.875 pred: 3.090 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_built_in | Analytical Deep Dive | What Is ChatGPT? Key Facts About OpenAI’s Chat
[Step 132] user:low_mood_audit loss: 0.280 grad: 2.928 pred: 3.166 reward:  7.87 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Hustle GPT: Can You Really Run A Business Just
[Step 133] user:low_mood_audit loss: 3.990 grad:19.789 pred: 3.155 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | OpenAI CEO Sam Altman gives ‘Sora update #1’ a
[Step 134] user:low_mood_audit loss: 3.274 grad:14.550 pred: 3.124 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_all3dp | Analytical Deep Dive | Take Text to 3D Mesh with OpenAI’s New AI-Driv
[Step 135] user:low_mood_audit loss: 0.314 grad: 3.144 pred: 3.193 reward:  7.92 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_business_today | Analytical Deep Dive | Samsung employees accidentally leaked company 
[Step 136] user:low_mood_audit loss: 0.490 grad: 4.036 pred: 3.167 reward:  7.76 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | 9to5mac.com | Analytical Deep Dive | ChatGPT will start rolling out ads today, per 
[Step 137] user:low_mood_audit loss: 5.909 grad:24.505 pred: 3.204 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | lifehacker.com | Analytical Deep Dive | These Nothing Earbuds With Built-In ChatGPT Ar
[Step 138] user:low_mood_audit loss: 5.330 grad:20.163 pred: 3.191 reward: 10.00 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_nature | Analytical Deep Dive | Multidimensional economic complexity and inclu
[Step 139] user:low_mood_audit loss: 0.342 grad: 3.324 pred: 3.241 reward:  7.61 eps:0.15 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Salesforce rolls out new Slackbot AI agent as 
[Step 140] user:low_mood_audit loss: 0.373 grad: 3.575 pred: 3.244 reward:  7.74 eps:0.15 exploit regret: 2.26 hn:0.000 hc:0.00 | source_the_new_york_times | Analytical Deep Dive | OpenAI to Give Away Some of the Technology Tha
[Step 141] user:low_mood_audit loss: 2.136 grad:10.934 pred: 3.250 reward:  7.52 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_barron_s | Analytical Deep Dive | Oaktree Capital Will Prosper When the Debt Cyc
[Step 142] user:low_mood_audit loss: 2.221 grad:12.082 pred: 3.262 reward:  7.61 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | The Best On Running Shoes, Based On Testing An
[Step 143] user:low_mood_audit loss: 0.160 grad: 1.971 pred: 3.282 reward:  7.60 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 5 ChatGPT Hacks You Need To Save Time And Mone
[Step 144] user:low_mood_audit loss: 0.332 grad: 3.100 pred: 3.256 reward:  7.26 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_esri | Analytical Deep Dive | Lidar Images Show Mayan Civilization in a New 
[Step 145] user:low_mood_audit loss: 5.799 grad:24.243 pred: 3.238 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_webpronews | Analytical Deep Dive | xAI Sues OpenAI for Poaching Staff and Stealin
[Step 146] user:low_mood_audit loss: 0.383 grad: 3.460 pred: 3.236 reward:  7.49 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_pib | Analytical Deep Dive | Empowering India's Space Economy: Rs. 1,000 Cr
[Step 147] user:low_mood_audit loss: 3.947 grad:22.404 pred: 3.259 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_ai_news | Analytical Deep Dive | Leak suggests OpenAI’s open-source AI model re
[Step 148] user:low_mood_audit loss: 3.336 grad:16.590 pred: 3.235 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_nextgov_fcw | Analytical Deep Dive | Tech bills of the week: Restricting biometric 
[Step 149] user:low_mood_audit loss: 0.277 grad: 2.734 pred: 3.262 reward:  7.21 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_business_insider | Analytical Deep Dive | Could making silly AI videos of your friends b
[Step 150] user:low_mood_audit loss: 0.326 grad: 3.031 pred: 3.256 reward:  7.23 eps:0.14 exploit regret: 2.77 hn:0.000 hc:0.00 | source_business_standard | Analytical Deep Dive | OpenAI launches Sora app comparable to Meta Vi
  └─ checkpoint step=150 rolling_reward_50=8.43 mean_regret_so_far=2.25
[Step 151] user:low_mood_audit loss: 3.566 grad:19.761 pred: 3.265 reward: 10.00 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_et_auto | Analytical Deep Dive | Elektrobit to showcase open-source, virtual SD
[Step 152] user:low_mood_audit loss: 0.270 grad: 2.799 pred: 3.269 reward:  7.76 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_yellowhammer_news | Analytical Deep Dive | Alabama lawmakers move to criminalize artifici
[Step 153] user:low_mood_audit loss: 0.336 grad: 3.154 pred: 3.263 reward:  7.60 eps:0.14 exploit regret:    - hn:0.000 hc:0.00 | source_nature | Analytical Deep Dive | Abstraction hierarchy to define biofoundry wor
[Step 154] user:low_mood_audit loss: 0.350 grad: 3.247 pred: 3.262 reward:  7.44 eps:0.13 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Anthropic’s Claude Cowork finally lands on Win
[Step 155] user:low_mood_audit loss: 2.397 grad:13.188 pred: 3.278 reward:  7.41 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_digital_watch_observatory | Analytical Deep Dive | Sora 2.0 release reignites debate on intellect
[Step 156] user:low_mood_audit loss: 0.205 grad: 2.440 pred: 3.279 reward:  7.99 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_mashable | Analytical Deep Dive | OpenAI could release agentic AI tool Operator 
[Step 157] user:low_mood_audit loss: 0.191 grad: 2.136 pred: 3.279 reward:  7.57 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_cyprus_mail | Analytical Deep Dive | Deeper EU capital markets key to strategic aut
[Step 158] user:low_mood_audit loss: 7.365 grad:32.809 pred: 3.291 reward:  7.14 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_openai | Analytical Deep Dive | Introducing ChatGPT agent: bridging research a
[Step 159] user:low_mood_audit loss: 0.167 grad: 2.022 pred: 3.273 reward:  7.81 eps:0.13 explore regret:    - hn:0.000 hc:0.00 | source_archdaily | Analytical Deep Dive | 5 Things Architecture Can Learn from the Tiny 
[Step 160] user:low_mood_audit loss: 5.243 grad:33.269 pred: 3.291 reward: 10.00 eps:0.13 exploit regret: 0.00 hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | These Two Under 30s Got Personal With Their Ve
[Step 161] user:low_mood_audit loss: 0.081 grad: 1.137 pred: 3.285 reward:  7.88 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_deccan_herald | Analytical Deep Dive | OpenAI Codex Mac App: Gen AI coding app for de
[Step 162] user:low_mood_audit loss: 3.970 grad:23.536 pred: 3.271 reward: 10.00 eps:0.13 explore regret:    - hn:0.000 hc:0.00 | source_fierce_biotech | Analytical Deep Dive | Synchron and Nvidia set sights on AI model tra
[Step 163] user:low_mood_audit loss: 0.099 grad: 1.339 pred: 3.282 reward:  7.81 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_retail_technology_innovation_hub | Analytical Deep Dive | Toom Baumarkt eyes more effective and efficien
[Step 164] user:low_mood_audit loss: 0.085 grad: 1.207 pred: 3.287 reward:  7.88 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_opentools | Analytical Deep Dive | Elon Musk's xAI Sues Former Engineer for Alleg
[Step 165] user:low_mood_audit loss: 0.119 grad: 1.588 pred: 3.281 reward:  7.81 eps:0.13 explore regret:    - hn:0.000 hc:0.00 | source_fondation_robert_schuman | Analytical Deep Dive | The Four Challenges facing European Defence - 
[Step 166] user:low_mood_audit loss:11.415 grad:47.076 pred: 3.293 reward: 10.00 eps:0.13 exploit regret:    - hn:0.000 hc:0.00 | source_the_verge | Analytical Deep Dive | Netflix Games is getting its first MMO - The V
[Step 167] user:low_mood_audit loss: 6.367 grad:27.572 pred: 3.281 reward:  7.09 eps:0.12 explore regret:    - hn:0.000 hc:0.00 | source_bizcommunity | Analytical Deep Dive | #BizTrends2025: Old Mutual FOR SME - Global ou
[Step 168] user:low_mood_audit loss: 5.708 grad:28.954 pred: 3.284 reward: 10.00 eps:0.12 explore regret:    - hn:0.000 hc:0.00 | source_the_bridge_chronicle | Analytical Deep Dive | OpenAI’s Popular Sora App Launches on Android:
[Step 169] user:low_mood_audit loss: 0.066 grad: 0.978 pred: 3.295 reward:  7.76 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_mashable | Analytical Deep Dive | Sora update: OpenAI expects copyright holders 
[Step 170] user:low_mood_audit loss: 7.926 grad:35.472 pred: 3.285 reward: 10.00 eps:0.12 exploit regret: 0.00 hn:0.000 hc:0.00 | source_business_insider | Analytical Deep Dive | 800 Google employees demand an end to any clou
[Step 171] user:low_mood_audit loss: 0.157 grad: 1.837 pred: 3.285 reward:  7.47 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_agfundernews | Analytical Deep Dive | 10 Online Platforms Helping Future Indoor Farm
[Step 172] user:low_mood_audit loss: 3.401 grad:17.106 pred: 3.273 reward:  7.06 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_techcrunch | Analytical Deep Dive | Ghost, now OpenAI-backed, claims LLMs will ove
[Step 173] user:low_mood_audit loss: 0.135 grad: 1.753 pred: 3.289 reward:  7.80 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | qz.com | Analytical Deep Dive | ChatGPT for desktop, DeepL's voice translator,
[Step 174] user:low_mood_audit loss: 2.902 grad:13.456 pred: 3.247 reward:  7.18 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_uc_san_francisco | Analytical Deep Dive | How Artificial Intelligence Gave a Paralyzed W
[Step 175] user:low_mood_audit loss: 0.309 grad: 3.069 pred: 3.258 reward:  7.58 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | engadget.com | Analytical Deep Dive | Anthropic beefs up Claude's free tier as OpenA
[Step 176] user:low_mood_audit loss: 6.184 grad:26.031 pred: 3.231 reward: 10.00 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_pc_gamer | Analytical Deep Dive | Apparently the most popular clip on OpenAI's n
[Step 177] user:low_mood_audit loss: 2.527 grad:10.503 pred: 3.204 reward:  7.08 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_cosmetics_business | Analytical Deep Dive | L'Oréal backs 13 start-ups through €100 millio
[Step 178] user:low_mood_audit loss: 2.950 grad:14.541 pred: 3.227 reward: 10.00 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_mashable | Analytical Deep Dive | OpenAI launches 'deep research' AI agent for C
[Step 179] user:low_mood_audit loss: 0.539 grad: 4.184 pred: 3.212 reward:  7.28 eps:0.12 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | How Jeffrey Epstein Helped His Publicist Becom
[Step 180] user:low_mood_audit loss: 0.718 grad: 4.936 pred: 3.165 reward:  7.45 eps:0.11 exploit regret: 2.55 hn:0.000 hc:0.00 | source_open_access_government | Analytical Deep Dive | Urban Technology Framework: How technology is 
[Step 181] user:low_mood_audit loss: 0.637 grad: 4.486 pred: 3.185 reward:  7.58 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_investment_monitor | Analytical Deep Dive | Anduril unveils new Ghost Shark factory in Syd
[Step 182] user:low_mood_audit loss: 2.164 grad: 8.250 pred: 3.184 reward:  7.42 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Masayoshi Son’s SoftBank Sells Venture Capital
[Step 183] user:low_mood_audit loss: 2.336 grad: 9.772 pred: 3.185 reward:  7.09 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_storyboard18 | Analytical Deep Dive | Paid Rs50 per tweet to several lakhs to spread
[Step 184] user:low_mood_audit loss: 5.148 grad:19.930 pred: 3.192 reward: 10.00 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Breaking Barriers In Healthcare Venture Capita
[Step 185] user:low_mood_audit loss: 0.489 grad: 4.020 pred: 3.186 reward:  7.86 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Paperboy Ventures Launches Breakout CPG VC Fun
[Step 186] user:low_mood_audit loss: 0.603 grad: 4.452 pred: 3.147 reward:  7.60 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Vercel rebuilt v0 to tackle the 90% problem: C
[Step 187] user:low_mood_audit loss: 0.563 grad: 4.120 pred: 3.149 reward:  7.22 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_el_pa_s_english | Analytical Deep Dive | The dark side of South Korea’s lucrative cultu
[Step 188] user:low_mood_audit loss: 2.080 grad: 7.341 pred: 3.102 reward:  7.32 eps:0.11 explore regret:    - hn:0.000 hc:0.00 | source_business_standard | Analytical Deep Dive | India share of venture capital funding lowest 
[Step 189] user:low_mood_audit loss: 0.400 grad: 3.354 pred: 3.166 reward:  7.62 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_nature | Analytical Deep Dive | Restoration Ecology | Learn Science at Scitabl
[Step 190] user:low_mood_audit loss: 3.678 grad:18.379 pred: 3.189 reward: 10.00 eps:0.11 exploit regret: 0.00 hn:0.000 hc:0.00 | source_kpopstarz | Analytical Deep Dive | Several Female Idols Reported Victims in "Nth 
[Step 191] user:low_mood_audit loss: 5.377 grad:21.694 pred: 3.166 reward: 10.00 eps:0.11 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Anthropic launches Claude for Chrome in limite
[Step 192] user:low_mood_audit loss: 0.284 grad: 2.663 pred: 3.185 reward:  7.53 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | ‘Every day is a battle’: influencer Emilie Kis
[Step 193] user:low_mood_audit loss: 2.237 grad:11.695 pred: 3.185 reward:  7.96 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | mastercard.com | Analytical Deep Dive | Affordable bling and shopping shifts: Unwrappi
[Step 194] user:low_mood_audit loss: 0.089 grad: 1.211 pred: 3.254 reward:  7.98 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Unicorn-Entrepreneurship Is The Opposite Of Ve
[Step 195] user:low_mood_audit loss: 2.203 grad:12.152 pred: 3.188 reward:  7.47 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_homes_and_gardens | Analytical Deep Dive | 14 Interior Design Trends to Know in 2026 - Ho
[Step 196] user:low_mood_audit loss: 3.997 grad:20.416 pred: 3.188 reward: 10.00 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Nvidia’s $53 Billion Investment Spree On AI St
[Step 197] user:low_mood_audit loss: 4.172 grad:21.787 pred: 3.199 reward: 10.00 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_bebeez_international | Analytical Deep Dive | Funding Europe’s “second renaissance”: Barcelo
[Step 198] user:low_mood_audit loss: 2.923 grad:15.166 pred: 3.176 reward:  7.10 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_the_motley_fool | Analytical Deep Dive | 10 Investments to Hedge Against Inflation in 2
[Step 199] user:low_mood_audit loss: 1.864 grad: 9.764 pred: 3.138 reward:  7.49 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_vintage_aviation_news | Analytical Deep Dive | CAF P-47N Thunderbolt – Restoration Update – W
[Step 200] user:low_mood_audit loss: 2.610 grad:11.925 pred: 3.116 reward:  7.13 eps:0.10 exploit regret: 2.87 hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Why Labor Activism Is Surging Again in the U.S
  └─ checkpoint step=200 rolling_reward_50=8.16 mean_regret_so_far=1.96

🏁 Final Reward(10): 8.27 | Mean Regret: 1.96
🔬 User-state cluster by session phase:
  cluster_0: {'early': 34, 'mid': 26, 'late': 4}
  cluster_1: {'early': 22}
  cluster_2: {'early': 10, 'mid': 41, 'late': 63}
💾 Warm-start checkpoint saved to: outputs/base_multi_16k.pt
