🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=gamer
[Step 124] user:gamer loss: 5.893 grad:13.889 pred: 2.104 reward: 10.00 eps:0.16 exploit regret:    - hn:0.706 hc:0.89 | agtechnavigator.com | Hype Beast | Dyson Farming and KWS join Wild Bio in five‑ye
[Step 125] user:gamer loss: 4.261 grad:11.360 pred: 2.102 reward: 10.00 eps:0.16 explore regret:    - hn:0.707 hc:0.89 | source_homes_to_love | Clickbait Shocker | The Unexpected DIY & Craft Trends Taking Us Of
[Step 126] user:gamer loss: 6.171 grad:17.959 pred: 2.114 reward: 10.00 eps:0.16 exploit regret:    - hn:0.708 hc:0.89 | source_devdiscourse | Hype Beast | Health Buzz: From Baby Formula Recalls to Gene
[Step 127] user:gamer loss: 6.542 grad:14.159 pred: 2.137 reward: -4.74 eps:0.15 exploit regret:    - hn:0.712 hc:0.89 | inc.com | Clickbait Shocker | Marketers Take Note: Pinterest Predicts This U
[Step 128] user:gamer loss: 1.866 grad: 5.011 pred: 2.150 reward:  6.92 eps:0.15 exploit regret:    - hn:0.714 hc:0.90 | fiercebiotech.com | Hype Beast | <a href="https://www.fiercebiotech.com/biotech
[Step 129] user:gamer loss: 2.661 grad: 5.023 pred: 2.154 reward:  2.19 eps:0.15 explore regret:    - hn:0.715 hc:0.90 | source_the_fashion_law | Angry Rant | What Does Chinese Backlash Against Brands like
[Step 130] user:gamer loss: 5.068 grad:11.268 pred: 2.161 reward: 10.00 eps:0.15 exploit regret: 0.00 hn:0.715 hc:0.90 | engadget.com | Hype Beast | Netflix is reportedly filming the Stranger Thi
[Step 131] user:gamer loss: 3.597 grad: 4.885 pred: 2.151 reward: 10.00 eps:0.15 exploit regret:    - hn:0.715 hc:0.90 | source_national_institute_of_standards_and_technology_gov | Hype Beast | NIST and Stanford Launch Long-Term Measurement
[Step 132] user:gamer loss: 2.262 grad: 5.040 pred: 2.161 reward:  4.61 eps:0.15 exploit regret:    - hn:0.716 hc:0.90 | theguardian.com | Dystopian Warning | Fears former Canberra boy has been executed in
[Step 133] user:gamer loss: 2.063 grad: 5.280 pred: 2.165 reward:  3.83 eps:0.15 exploit regret:    - hn:0.715 hc:0.90 | forbes.com | Angry Rant | Racist Videos And Payment Problems: The Dark S
[Step 134] user:gamer loss: 3.609 grad: 5.457 pred: 2.128 reward: 10.00 eps:0.15 exploit regret:    - hn:0.711 hc:0.89 | source_telus | Hype Beast | Food Compliance Innovation: TELUS & Welch's Br
[Step 135] user:gamer loss: 6.294 grad:12.968 pred: 2.111 reward: 10.00 eps:0.15 exploit regret:    - hn:0.707 hc:0.89 | source_global_times | Hype Beast | Chinese researchers developed world's first 'd
[Step 136] user:gamer loss: 2.777 grad: 4.434 pred: 2.130 reward:  7.49 eps:0.15 exploit regret:    - hn:0.709 hc:0.89 | source_the_journal_record | Hype Beast | AI startups lead global venture capital with $
[Step 137] user:gamer loss: 1.989 grad: 5.247 pred: 2.131 reward:  6.78 eps:0.15 exploit regret:    - hn:0.710 hc:0.89 | 9to5mac.com | Hype Beast | Two reasons helped Apple hit record iPhone sal
[Step 138] user:gamer loss: 2.547 grad: 4.494 pred: 2.120 reward:  7.81 eps:0.15 exploit regret:    - hn:0.709 hc:0.89 | source_construction_property_news | Hype Beast | China Unveils Breakthrough Salt-Tolerant Rice 
[Step 139] user:gamer loss: 2.001 grad: 4.777 pred: 2.106 reward:  7.04 eps:0.15 exploit regret:    - hn:0.707 hc:0.89 | da.gov.ph | Hype Beast | Biotech breakthroughs in agri deemed vital for
[Step 140] user:gamer loss: 2.704 grad: 4.706 pred: 2.091 reward:  7.26 eps:0.15 exploit regret: 0.59 hn:0.705 hc:0.89 | source_binance | Hype Beast | First Mover Americas: Bitcoin Price Eyes Recor
[Step 141] user:gamer loss: 1.781 grad: 4.650 pred: 2.075 reward:  6.76 eps:0.14 exploit regret:    - hn:0.702 hc:0.89 | source_yahoo_finance | Hype Beast | PanBrain Tech Unveils Breakthrough Brain-Compu
[Step 142] user:gamer loss: 1.992 grad: 4.669 pred: 2.051 reward:  2.67 eps:0.14 exploit regret:    - hn:0.698 hc:0.89 | energy-storage.news | Angry Rant | Battery data analytics software specialist TWA
[Step 143] user:gamer loss: 2.600 grad: 7.066 pred: 2.035 reward:  7.33 eps:0.14 exploit regret:    - hn:0.695 hc:0.88 | source_sabc_news | Hype Beast | New tech to boost border security: SAPU - SABC
[Step 144] user:gamer loss: 2.205 grad: 5.657 pred: 2.019 reward:  7.33 eps:0.14 exploit regret:    - hn:0.692 hc:0.88 | samsung.com | Hype Beast | Samsung’s Breakthrough Wearable Technologies D
[Step 145] user:gamer loss: 3.737 grad: 8.406 pred: 2.021 reward: 10.00 eps:0.14 exploit regret:    - hn:0.693 hc:0.88 | source_sahm | Hype Beast | More crop per drop: NADEC and EF Polymer deplo
[Step 146] user:gamer loss: 5.896 grad:11.329 pred: 2.022 reward: -4.73 eps:0.14 exploit regret:    - hn:0.694 hc:0.88 | source_archaeology_news_online_magazine | Analytical Deep Dive | LiDAR uncovers lost Maya settlements in Campec
[Step 147] user:gamer loss: 4.315 grad:10.623 pred: 2.003 reward: 10.00 eps:0.14 exploit regret:    - hn:0.691 hc:0.88 | source_construction_news | Hype Beast | Breakthrough in HS2 mass transit procurement p
[Step 148] user:gamer loss: 1.257 grad:21.555 pred: 2.002 reward:  7.04 eps:0.14 exploit regret:    - hn:0.690 hc:0.88 | source_global_times | Hype Beast | China achieves breakthrough in BCI clinical tr
[Step 149] user:gamer loss: 2.141 grad: 6.871 pred: 1.992 reward:  7.31 eps:0.14 exploit regret:    - hn:0.688 hc:0.88 | engadget.com | Hype Beast | The Apple Watch Series 11 drops to $299 ahead 
[Step 150] user:gamer loss: 2.621 grad: 8.043 pred: 2.001 reward:  7.55 eps:0.14 exploit regret: 2.45 hn:0.690 hc:0.88 | source_morningstar_australia | Hype Beast | Coles forced to boost spending amid shift to o
  └─ checkpoint step=150 rolling_reward_50=6.69 mean_regret_so_far=5.94
[Step 151] user:gamer loss: 7.422 grad:17.466 pred: 1.997 reward: -5.37 eps:0.14 exploit regret:    - hn:0.690 hc:0.88 | 9to5mac.com | Analytical Deep Dive | Deals: AirPods Pro 3, Apple Sport Bands up to 
[Step 152] user:gamer loss: 5.130 grad:12.332 pred: 2.004 reward: 10.00 eps:0.14 exploit regret:    - hn:0.690 hc:0.88 | source_yicai_global | Hype Beast | Chinese BCI Startup NeuroXess Hails Breakthrou
[Step 153] user:gamer loss: 8.119 grad:18.241 pred: 2.010 reward: 10.00 eps:0.14 exploit regret:    - hn:0.691 hc:0.88 | source_cnbc | Hype Beast | Consolidating credit card debt could help you 
[Step 154] user:gamer loss: 4.530 grad: 8.721 pred: 2.026 reward: 10.00 eps:0.13 explore regret:    - hn:0.694 hc:0.88 | source_china_daily | Hype Beast | Brain-computer interface makes breakthrough by
[Step 155] user:gamer loss: 1.699 grad: 4.486 pred: 2.047 reward:  6.90 eps:0.13 exploit regret:    - hn:0.697 hc:0.89 | source_business_post_nigeria | Hype Beast | Customs to Boost Border Security, Combat Smugg
[Step 156] user:gamer loss: 7.251 grad:14.935 pred: 2.054 reward: 10.00 eps:0.13 exploit regret:    - hn:0.697 hc:0.89 | source_yahoo | Hype Beast | Researchers make major breakthrough that could
[Step 157] user:gamer loss: 4.377 grad: 7.599 pred: 2.068 reward: 10.00 eps:0.13 exploit regret:    - hn:0.700 hc:0.89 | source_csp_daily_news | Hype Beast | Private-label sales hit record $282.8B in 2025
[Step 158] user:gamer loss: 2.383 grad: 4.118 pred: 2.108 reward:  7.39 eps:0.13 exploit regret:    - hn:0.704 hc:0.89 | source_ubergizmo | Hype Beast | GPT-5.3-Codex Launches: OpenAI’s Fastest AI Co
[Step 159] user:gamer loss: 2.409 grad: 4.319 pred: 2.105 reward:  7.97 eps:0.13 explore regret:    - hn:0.707 hc:0.89 | tsukuba.ac.jp | Hype Beast | Byzantine Solar Eclipse Records Illuminate Obs
[Step 160] user:gamer loss: 2.278 grad: 4.378 pred: 2.141 reward:  7.52 eps:0.13 exploit regret: 2.48 hn:0.711 hc:0.89 | source_the_debrief | Hype Beast | Brain-Computer Interface Breakthrough Successf
[Step 161] user:gamer loss: 2.286 grad: 4.243 pred: 2.159 reward:  7.48 eps:0.13 exploit regret:    - hn:0.714 hc:0.90 | source_daily_mail | Hype Beast | Influencer Emilie Kiser wins battle to keep go
[Step 162] user:gamer loss: 2.472 grad: 3.975 pred: 2.184 reward:  7.56 eps:0.13 explore regret:    - hn:0.721 hc:0.90 | source_newsweek | Hype Beast | Ukraine Goes After Russia’s Fuel Tanks in Reco
[Step 163] user:gamer loss: 4.695 grad: 8.556 pred: 2.208 reward: 10.00 eps:0.13 exploit regret:    - hn:0.721 hc:0.90 | source_pandaily | Hype Beast | Mandarin Chinese Decoded from Brain Signals: N
[Step 164] user:gamer loss: 2.231 grad: 6.048 pred: 2.244 reward:  7.22 eps:0.13 exploit regret:    - hn:0.726 hc:0.90 | source_tribune_india | Hype Beast | EU, India to seal major security pact, push fo
[Step 165] user:gamer loss: 1.821 grad: 5.304 pred: 2.270 reward:  7.10 eps:0.13 explore regret:    - hn:0.730 hc:0.90 | bbc.com | Hype Beast | Wrapped helps Spotify add users despite artist
[Step 166] user:gamer loss: 1.917 grad: 4.840 pred: 2.291 reward:  7.62 eps:0.13 exploit regret:    - hn:0.735 hc:0.91 | source_financial_times | Hype Beast | How Donald Trump’s spending bill will boost Si
[Step 167] user:gamer loss: 1.836 grad: 5.438 pred: 2.320 reward:  7.03 eps:0.12 explore regret:    - hn:0.735 hc:0.91 | source_reuters | Hype Beast | OpenAI to boost content owners' control for So
[Step 168] user:gamer loss: 1.745 grad: 5.764 pred: 2.334 reward:  7.19 eps:0.12 explore regret:    - hn:0.740 hc:0.91 | source_tradingview | Hype Beast | Oracle Unveils AI Agents for Fusion Apps: Will
[Step 169] user:gamer loss: 4.283 grad:14.325 pred: 2.384 reward: 10.00 eps:0.12 exploit regret:    - hn:0.741 hc:0.91 | destructoid.com | Clickbait Shocker | Warlock class takes center stage across 3 game
[Step 170] user:gamer loss: 2.480 grad: 9.919 pred: 2.425 reward:  4.58 eps:0.12 exploit regret: 5.42 hn:0.749 hc:0.92 | theguardian.com | Angry Rant | ‘A step in the wrong direction’: Israel’s West
[Step 171] user:gamer loss: 1.487 grad: 5.724 pred: 2.412 reward:  7.77 eps:0.12 exploit regret:    - hn:0.748 hc:0.92 | source_toronto_star | Hype Beast | Finally Mark Carney delivers a breakthrough fo
[Step 172] user:gamer loss: 9.395 grad:28.013 pred: 2.450 reward: 10.00 eps:0.12 exploit regret:    - hn:0.752 hc:0.92 | source_rnz | Hype Beast | US-China trade war surges, overshadowing Trump
[Step 173] user:gamer loss: 4.436 grad:15.173 pred: 2.456 reward: 10.00 eps:0.12 exploit regret:    - hn:0.756 hc:0.92 | source_natural_history_museum | Hype Beast | Revolutionary AirSeq Technology Promises Break
[Step 174] user:gamer loss: 1.430 grad: 5.614 pred: 2.463 reward:  7.49 eps:0.12 exploit regret:    - hn:0.751 hc:0.92 | source_ffoods_spectrum | Hype Beast | How Technological Breakthroughs are Redefining
[Step 175] user:gamer loss: 1.379 grad: 5.772 pred: 2.494 reward:  7.47 eps:0.12 exploit regret:    - hn:0.755 hc:0.92 | source_36_kr | Hype Beast | Domestic Brain-Computer Interface Commercializ
[Step 176] user:gamer loss: 1.578 grad: 8.518 pred: 2.550 reward:  6.65 eps:0.12 exploit regret:    - hn:0.764 hc:0.92 | source_the_debrief | Hype Beast | Paralyzed Man Controls Robotic Arm With His Th
[Step 177] user:gamer loss: 1.523 grad:10.117 pred: 2.611 reward:  6.68 eps:0.12 exploit regret:    - hn:0.766 hc:0.93 | theintercept.com | Hype Beast | Pentagon Makes Largest Known Arms Purchase Fro
[Step 178] user:gamer loss: 1.215 grad: 6.450 pred: 2.590 reward:  7.65 eps:0.12 exploit regret:    - hn:0.766 hc:0.93 | source_azoquantum | Hype Beast | Exotic Quantum Material Using Magnetism to Boo
[Step 179] user:gamer loss: 1.216 grad: 6.257 pred: 2.599 reward:  7.46 eps:0.12 exploit regret:    - hn:0.769 hc:0.93 | ecowatch.com | Clickbait Shocker | Deepest-Known Animal Communities Found Almost 
[Step 180] user:gamer loss: 2.468 grad:12.732 pred: 2.645 reward:  7.30 eps:0.11 exploit regret: 2.70 hn:0.771 hc:0.93 | source_howstuffworks | Hype Beast | 15 Of The Craziest Guinness World Records - Ho
[Step 181] user:gamer loss: 1.547 grad: 8.828 pred: 2.647 reward:  6.78 eps:0.11 exploit regret:    - hn:0.781 hc:0.93 | source_carnegie_mellon_university | Hype Beast | Breakthrough approach enables bidirectional BC
[Step 182] user:gamer loss: 3.097 grad:16.352 pred: 2.718 reward:  6.95 eps:0.11 exploit regret:    - hn:0.780 hc:0.93 | source_quantum_zeitgeist | Hype Beast | Microsoft Quantum Computing Breakthrough Faces
[Step 183] user:gamer loss: 1.064 grad: 6.348 pred: 2.699 reward:  7.58 eps:0.11 exploit regret:    - hn:0.781 hc:0.93 | source_san_francisco_chronicle | Hype Beast | Many older people take these vitamins to boost
[Step 184] user:gamer loss: 1.532 grad:11.214 pred: 2.727 reward:  7.07 eps:0.11 exploit regret:    - hn:0.779 hc:0.93 | source_globenewswire | Hype Beast | CareCloud Launches stratusAI Desk Agent, A Bre
[Step 185] user:gamer loss: 1.002 grad: 6.659 pred: 2.735 reward:  7.74 eps:0.11 exploit regret:    - hn:0.780 hc:0.93 | source_psychology_today | Hype Beast | Breakthrough AI predicts brain age, cancer, de
[Step 186] user:gamer loss: 0.935 grad: 7.108 pred: 2.793 reward:  7.31 eps:0.11 exploit regret:    - hn:0.783 hc:0.93 | commondreams.org | Hype Beast | Trump’s New Fed Chair Nominee Kevin Warsh Is a
[Step 187] user:gamer loss: 0.925 grad: 6.530 pred: 2.796 reward:  7.50 eps:0.11 exploit regret:    - hn:0.785 hc:0.94 | bbc.com | Hype Beast | 'Year of octopus' declared after warmer seas l
[Step 188] user:gamer loss: 0.945 grad: 5.785 pred: 2.782 reward:  7.58 eps:0.11 explore regret:    - hn:0.786 hc:0.94 | source_boston_university | Hype Beast | 2025 Civic Tech Hackathon Breaks Record in Att
[Step 189] user:gamer loss: 8.538 grad:37.161 pred: 2.926 reward: 10.00 eps:0.11 exploit regret:    - hn:0.795 hc:0.94 | source_36_kr | Hype Beast | Tsinghua Team's DeepDive: A New Breakthrough i
[Step 190] user:gamer loss: 1.887 grad:15.573 pred: 2.916 reward:  6.98 eps:0.11 exploit regret: 3.02 hn:0.799 hc:0.94 | source_daily_record | Hype Beast | Scotland's best street food spots crowned as E
[Step 191] user:gamer loss: 0.712 grad: 4.708 pred: 2.997 reward:  7.26 eps:0.11 explore regret:    - hn:0.804 hc:0.95 | source_geeky_gadgets | Hype Beast | 8 Powerful AI Agent Use Cases to Boost Automat
[Step 192] user:gamer loss: 2.124 grad:17.707 pred: 2.989 reward:  6.76 eps:0.11 exploit regret:    - hn:0.809 hc:0.95 | source_food_industry_executive | Hype Beast | Food Exec Brief: Margin Preservation’s Urgent 
[Step 193] user:gamer loss: 0.672 grad: 4.105 pred: 3.027 reward:  7.53 eps:0.11 exploit regret:    - hn:0.806 hc:0.95 | source_webpronews | Hype Beast | SpaceX Partners with EchoStar to Bring Starlin
[Step 194] user:gamer loss: 6.317 grad:31.202 pred: 3.051 reward: 10.00 eps:0.10 exploit regret:    - hn:0.817 hc:0.95 | lifehacker.com | Hype Beast | This Substack Data Breach May Have Compromised
[Step 195] user:gamer loss: 2.309 grad:18.338 pred: 3.034 reward:  6.58 eps:0.10 exploit regret:    - hn:0.808 hc:0.95 | source_scitechdaily | Hype Beast | Breakthrough Process Turns CO2 and Electricity
[Step 196] user:gamer loss: 0.615 grad: 3.374 pred: 3.087 reward:  7.62 eps:0.10 exploit regret:    - hn:0.811 hc:0.95 | news.cgtn.com | Hype Beast | China's brain chip tech achieves tumor localiz
[Step 197] user:gamer loss:10.321 grad:43.790 pred: 3.087 reward: 10.00 eps:0.10 exploit regret:    - hn:0.809 hc:0.95 | source_globenewswire | Hype Beast | More crop per drop: NADEC and EF Polymer deplo
[Step 198] user:gamer loss: 0.643 grad: 3.281 pred: 3.080 reward:  7.24 eps:0.10 exploit regret:    - hn:0.810 hc:0.95 | source_bbc | Hype Beast | Car park opens 24/7 in trial to boost economy 
[Step 199] user:gamer loss: 2.406 grad:18.415 pred: 3.063 reward:  6.78 eps:0.10 exploit regret:    - hn:0.810 hc:0.95 | source_tehran_times | Hype Beast | SATBA advances construction of 1,000 solar pow
[Step 200] user:gamer loss: 0.640 grad: 3.266 pred: 3.073 reward:  7.80 eps:0.10 exploit regret: 2.20 hn:0.813 hc:0.95 | source_ehealth_magazine | Hype Beast | Neuralink's Breakthrough: A Deep Dive into the
  └─ checkpoint step=200 rolling_reward_50=7.63 mean_regret_so_far=5.25

🏁 Final Reward(10): 7.76 | Mean Regret: 5.25
🔬 User-state cluster by session phase:
  cluster_0: {'early': 21, 'mid': 42, 'late': 22}
  cluster_1: {'early': 21}
  cluster_2: {'early': 24, 'mid': 25, 'late': 45}
💾 Warm-start checkpoint saved to: outputs/base_multi_16k.pt
